title,production_budget,domestic_gross_x,worldwide_gross,studio,genre_ids,original_language,popularity,vote_average,vote_count,date,Year,Month
Bran Nue Dae,6750000.0,113568.0,6812530.0,,"[35, 18, 10749]",en,1.142,5.7,12.0,2011-09-13,2011.0,9.0
Perrierâs Bounty,6600000.0,828.0,828.0,,,,,,,,2010.0,5.0
Annabelle,6500000.0,84273813.0,256862920.0,WB (NL),[27],en,13.989,5.6,3357.0,2014-10-03,2014.0,10.0
Same Kind of Different as Me,6500000.0,6423605.0,6423605.0,,[18],en,8.756,6.8,103.0,2017-10-20,2017.0,10.0
Shame,6500000.0,4002293.0,20412841.0,FoxS,[18],en,13.152,7.0,1607.0,2011-12-02,2011.0,12.0
The East,6500000.0,2274649.0,3027956.0,FoxS,"[18, 53]",en,8.044,6.6,438.0,2013-05-31,2013.0,5.0
Tracker,6500000.0,0.0,3149.0,,"[28, 18, 53, 12]",en,3.5810000000000004,6.7,29.0,2010-09-12,2010.0,9.0
Breaking In,6000000.0,46840590.0,51411620.0,,[],en,0.6,2.5,2.0,2014-01-01,2014.0,1.0
Unplanned,6000000.0,18107621.0,18107621.0,,,,,,,,2019.0,3.0
The Prodigy,6000000.0,14856291.0,19789712.0,,,,,,,,2019.0,2.0
The Possession of Hannah Grace,6000000.0,14836174.0,42785387.0,SGem,"[27, 18]",en,20.263,5.1,393.0,2018-11-30,2018.0,11.0
The Words,6000000.0,11494838.0,16369708.0,CBS,"[18, 53]",en,7.2010000000000005,6.6,628.0,2012-09-07,2012.0,9.0
Bernie,6000000.0,9204489.0,10106975.0,MNE,"[35, 80, 18]",en,7.518,6.6,503.0,2012-04-27,2012.0,4.0
City Island,6000000.0,6671283.0,8173486.0,Anch.,,,,,,,2010.0,3.0
Casa de mi Padre,6000000.0,5909483.0,8446952.0,,,,,,,,2012.0,3.0
The Guard,6000000.0,5359774.0,21197454.0,SPC,"[28, 35, 53, 80]",en,10.177,6.9,563.0,2011-07-29,2011.0,7.0
Wish I Was Here,6000000.0,3591299.0,6591365.0,Focus,"[18, 35]",en,7.845,6.6,440.0,2014-01-18,2014.0,1.0
Veronica Mars,6000000.0,3322127.0,3485383.0,WB,"[35, 18, 80]",en,7.8210000000000015,6.7,699.0,2014-03-14,2014.0,3.0
Snow Flower and the Secret Fan,6000000.0,1348205.0,11348205.0,FoxS,"[18, 36]",en,4.519,5.9,39.0,2011-07-15,2011.0,7.0
Mandy,6000000.0,1214525.0,1427656.0,RLJ,[18],en,0.6,3.5,2.0,2016-01-24,2016.0,1.0
JÃ»san-nin no shikaku,6000000.0,802778.0,18727440.0,,,,,,,,2011.0,4.0
