	production_budget	domestic_gross_x	worldwide_gross	month	year	studio	genre_ids	original_language	popularity	vote_average	vote_count	date	month	year
Lucky Stiff							[35]	en	0.674	3.0	1.0	2014-10-08	10.0	2014.0
Sorority Horror House							[27]	en	0.672	1.3	2.0	2014-03-11	3.0	2014.0
El pequeño médico							[16, 10751]	es	0.6709999999999999	9.0	1.0	2014-09-18	9.0	2014.0
Catalyst							[10751, 18]	en	0.6709999999999999	7.0	1.0	2014-10-23	10.0	2014.0
Britney Spears Workin' It							[99, 10402]	en	0.67	10.0	1.0	2014-05-29	5.0	2014.0
Highway to Dhampus							[18, 10749]	en	0.67	8.0	1.0	2014-01-01	1.0	2014.0
Preoccupied							[35, 18]	en	0.67	6.0	1.0	2014-05-31	5.0	2014.0
Awesome Asian Bad Guys							[35, 28]	en	0.67	6.0	1.0	2014-03-20	3.0	2014.0
Once Upon a Zipper							[35, 18, 10749]	en	0.669	5.0	2.0	2014-11-26	11.0	2014.0
A Good Job: Stories of the FDNY							[99]	en	0.6679999999999999	8.0	2.0	2014-09-08	9.0	2014.0
Area 51: The CIA's Secret Files							[10770, 99]	en	0.6679999999999999	6.0	2.0	2014-11-24	11.0	2014.0
Axel: The Biggest Little Hero							[]	en	0.6679999999999999	4.0	2.0	2014-06-03	6.0	2014.0
K-9 Adventures: Legend of the Lost Gold							[10751]	en	0.667	7.5	2.0	2014-06-04	6.0	2014.0
Pantani: The Accidental Death of a Cyclist							[99]	en	0.665	6.8	17.0	2014-07-14	7.0	2014.0
Skin Deep							[18]	en	0.665	6.0	1.0	2014-10-25	10.0	2014.0
Red Christmas							[27]	en	0.665	1.0	1.0	2014-12-09	12.0	2014.0
Blesi							[]	en	0.664	7.0	1.0	2014-01-01	1.0	2014.0
Swearnet Live							[35]	en	0.664	5.4	5.0	2014-10-01	10.0	2014.0
Attack of the Morningside Monster							[27]	en	0.664	3.0	1.0	2014-01-14	1.0	2014.0
Leonard Cohen: Live in Dublin							[10402]	en	0.659	9.5	2.0	2014-12-02	12.0	2014.0
Afterglow							[]	en	0.659	9.0	2.0	2014-10-19	10.0	2014.0
How Murray Saved Christmas							[16]	en	0.659	8.5	2.0	2014-12-05	12.0	2014.0
The Beautiful Risk							[]	en	0.659	8.0	2.0	2014-11-23	11.0	2014.0
The Perfect 46							[878, 18]	en	0.659	8.0	2.0	2014-10-28	10.0	2014.0
Frontline: Losing Iraq							[99]	en	0.659	7.5	2.0	2014-07-29	7.0	2014.0
The Offseason: Kevin Durant							[99]	en	0.659	7.0	2.0	2014-11-04	11.0	2014.0
Monkaa							[16, 35]	en	0.659	6.5	2.0	2014-10-25	10.0	2014.0
Eric Clapton - Planes, Trains and Eric							[10402, 99]	en	0.659	6.0	2.0	2014-11-04	11.0	2014.0
Where Are They Now?							[16]	en	0.659	6.0	2.0	2014-09-11	9.0	2014.0
Frank Pierre Presents: Pierre Resort & Casino							[]	en	0.659	5.5	2.0	2014-12-02	12.0	2014.0
Shiny Toy Guns - Setting Sun: Live in San Diego							[99, 10402, 10770]	en	0.659	5.3	2.0	2014-10-05	10.0	2014.0
Anthrax: Chile On Hell							[10402]	en	0.659	4.8	2.0	2014-09-16	9.0	2014.0
Niko: Journey to Magika							[]	en	0.659	4.5	2.0	2014-12-12	12.0	2014.0
The Grey Matter							[35, 27]	en	0.659	4.0	2.0	2014-11-20	11.0	2014.0
David Beckham: Into the Unknown							[99]	en	0.6579999999999999	10.0	2.0	2014-06-13	6.0	2014.0
Deadly Revisions							[53, 27, 9648]	en	0.6579999999999999	9.8	2.0	2014-01-01	1.0	2014.0
Quiet Riot: Well Now You're Here, There's No Way Back							[10402, 99]	en	0.6579999999999999	9.5	2.0	2014-04-29	4.0	2014.0
When Calls the Heart - Lost and found							[18]	en	0.6579999999999999	9.0	2.0	2014-01-11	1.0	2014.0
Invaluable: The True Story of an Epic Artist							[99]	en	0.6579999999999999	8.5	2.0	2014-01-31	1.0	2014.0
Sons of Jeremiah Johnson							[12, 35, 18]	en	0.6579999999999999	8.3	2.0	2014-01-28	1.0	2014.0
Lessons Learned							[]	en	0.6579999999999999	8.0	2.0	2014-04-01	4.0	2014.0
Violet							[]	es	0.6579999999999999	7.5	2.0	2014-02-02	2.0	2014.0
Battle of Kings: Bannockburn							[10752, 99]	en	0.6579999999999999	7.3	2.0	2014-06-22	6.0	2014.0
Tongue Tied							[]	en	0.6579999999999999	7.0	2.0	2014-05-08	5.0	2014.0
SlingShot							[99]	en	0.6579999999999999	7.0	7.0	2014-03-14	3.0	2014.0
The Case of the Three Sided Dream							[99]	en	0.6579999999999999	7.0	2.0	2014-03-11	3.0	2014.0
The Bravest, the Boldest							[10752, 18]	en	0.6579999999999999	6.5	2.0	2014-01-17	1.0	2014.0
Gabriel Iglesias Presents Rick Gutierrez: I'm Not Mad, I'm Just a Parent							[35]	en	0.6579999999999999	6.0	2.0	2014-06-14	6.0	2014.0
Love Is a Verb							[99]	en	0.6579999999999999	6.0	2.0	2014-04-01	4.0	2014.0
Playing with the Devil							[27]	en	0.6579999999999999	6.0	2.0	2014-03-15	3.0	2014.0
Danny and the Wild Bunch							[28, 16]	en	0.6579999999999999	6.0	2.0	2014-02-18	2.0	2014.0
Blood Pulls a Gun							[53, 18]	en	0.6579999999999999	6.0	2.0	2014-03-15	3.0	2014.0
Space: Unraveling the Cosmos							[99]	en	0.6579999999999999	5.8	2.0	2014-01-01	1.0	2014.0
Box Room							[878, 18, 27]	en	0.6579999999999999	5.5	2.0	2014-03-08	3.0	2014.0
It's a Beautiful World							[99]	en	0.6579999999999999	5.5	2.0	2014-04-22	4.0	2014.0
At the Foot of the Rainbow							[36, 18, 10751, 10749]	en	0.6579999999999999	5.3	2.0	2014-05-25	5.0	2014.0
Future Justice							[28, 878]	en	0.6579999999999999	5.0	2.0	2014-05-18	5.0	2014.0
Crow Hand							[27]	en	0.6579999999999999	5.0	2.0	2014-01-01	1.0	2014.0
Forgotten							[18, 10751]	en	0.6579999999999999	4.0	2.0	2014-03-30	3.0	2014.0
Asylum of the Dead							[27]	en	0.6579999999999999	4.0	2.0	2014-01-01	1.0	2014.0
The Red House							[53, 27, 18]	en	0.6579999999999999	4.0	2.0	2014-10-07	10.0	2014.0
Mad As Hell							[]	en	0.6579999999999999	4.0	2.0	2014-07-01	7.0	2014.0
Apocalypse Kiss							[878]	en	0.6579999999999999	2.0	2.0	2014-01-01	1.0	2014.0
Future Shock! The Story of 2000AD							[99]	en	0.654	7.4	7.0	2014-09-19	9.0	2014.0
Love or Whatever							[35]	en	0.652	5.8	4.0	2014-07-22	7.0	2014.0
Gente de bien							[18]	es	0.648	7.1	10.0	2014-10-18	10.0	2014.0
Acting Like Adults							[18]	en	0.644	7.0	1.0	2014-03-08	3.0	2014.0
Telling of the Shoes							[]	en	0.64	8.0	1.0	2014-02-01	2.0	2014.0
Sex, Marriage and Infidelity							[]	en	0.64	1.0	1.0	2014-10-19	10.0	2014.0
Need for Speed (Dating)							[10749, 35]	en	0.639	7.0	1.0	2014-04-16	4.0	2014.0
Mommies 3							[18, 35]	ru	0.636	7.0	1.0	2014-12-30	12.0	2014.0
Santa Hunters							[10751]	en	0.635	7.3	7.0	2014-11-28	11.0	2014.0
February 28							[18]	ru	0.634	10.0	1.0	2014-09-21	9.0	2014.0
88th Annual Macy's Thanksgiving Day Parade							[10751]	en	0.634	8.0	1.0	2014-11-27	11.0	2014.0
9/10: The Final Hours							[99]	en	0.633	10.0	1.0	2014-09-11	9.0	2014.0
Three Holes, Two Brads, and a Smoking Gun							[18, 53, 80]	en	0.633	8.5	1.0	2014-10-24	10.0	2014.0
Walter Williams: Suffer No Fools							[99]	en	0.633	8.0	1.0	2014-09-15	9.0	2014.0
Summer '82: When Zappa Came to Sicily							[10402, 99]	en	0.633	7.0	1.0	2014-10-05	10.0	2014.0
Under Our Skin 2: Emergence							[99]	en	0.633	7.0	1.0	2014-08-01	8.0	2014.0
La Joya And The Warriors In The Mist							[99]	en	0.633	7.0	1.0	2014-07-07	7.0	2014.0
The Magical Brush							[14, 16]	zh	0.633	5.0	1.0	2014-12-31	12.0	2014.0
A Better You							[35]	en	0.633	5.0	1.0	2014-11-10	11.0	2014.0
The Jungle Bunch 2: The Great Treasure Quest							[10751, 16]	en	0.633	4.0	1.0	2014-08-27	8.0	2014.0
Chainsaw Killer							[27]	en	0.633	2.0	1.0	2014-10-31	10.0	2014.0
Roxie							[]	en	0.632	5.0	1.0	2014-04-04	4.0	2014.0
Wet and Reckless							[35, 28, 12]	en	0.632	3.0	1.0	2014-04-08	4.0	2014.0
Ghost Train							[14, 27, 18]	en	0.631	7.0	1.0	2014-10-11	10.0	2014.0
Girls on Film: The First Date							[]	en	0.629	10.0	1.0	2014-07-14	7.0	2014.0
Greenman: The Awakening							[35, 28]	en	0.629	10.0	1.0	2014-10-28	10.0	2014.0
Staple-Man Rises							[28, 35]	en	0.629	10.0	1.0	2014-10-05	10.0	2014.0
Nowhere Girl							[]	en	0.629	10.0	1.0	2014-09-10	9.0	2014.0
Tarpan: Repainting an Ancient Picture							[]	en	0.629	10.0	1.0	2014-11-01	11.0	2014.0
Fresh Cut Grass							[12, 18]	en	0.629	10.0	1.0	2014-11-23	11.0	2014.0
Hypnosis Display							[]	en	0.629	10.0	1.0	2014-09-20	9.0	2014.0
The Transcendental Object at the End of Time							[99]	en	0.629	10.0	1.0	2014-11-16	11.0	2014.0
Between Two Worlds							[99]	en	0.629	8.0	1.0	2014-07-29	7.0	2014.0
A Dark Room Mystery							[12, 10751, 14]	ru	0.629	8.0	1.0	2014-12-30	12.0	2014.0
Stand Down Soldier							[18]	en	0.629	8.0	1.0	2014-07-09	7.0	2014.0
Awkward Thanksgiving							[35]	en	0.629	8.0	1.0	2014-11-07	11.0	2014.0
Jar Jar Binks: The F! True Hollywood Story							[]	en	0.629	8.0	1.0	2014-12-09	12.0	2014.0
The Greasy Hands Preachers							[99]	en	0.629	7.5	1.0	2014-09-26	9.0	2014.0
Marcel the Shell with Shoes On, Three							[35, 16]	en	0.629	7.0	1.0	2014-10-20	10.0	2014.0
Apt 3D							[]	en	0.629	7.0	1.0	2014-12-06	12.0	2014.0
Killing Mr. Right							[53]	en	0.629	7.0	1.0	2014-10-14	10.0	2014.0
VeggieTales: Beauty and the Beet							[]	en	0.629	7.0	1.0	2014-10-01	10.0	2014.0
Blackford Manor							[16]	en	0.629	6.5	1.0	2014-08-28	8.0	2014.0
I Dream Of Wires							[10402, 99]	en	0.629	6.4	9.0	2014-11-10	11.0	2014.0
Slash - Raised On the Sunset Strip							[99, 10402, 10770]	en	0.629	6.0	1.0	2014-10-29	10.0	2014.0
The Rocky Mountain Fly Highway							[99]	en	0.629	6.0	1.0	2014-09-03	9.0	2014.0
Carolina Parakeet							[]	en	0.629	6.0	1.0	2014-10-21	10.0	2014.0
Dear Mom!							[10749, 35]	ru	0.629	6.0	1.0	2014-12-15	12.0	2014.0
Clue: A Movie Mystery Adventure							[9648]	en	0.629	6.0	1.0	2014-07-15	7.0	2014.0
The Fright Night Files							[27]	fr	0.629	6.0	1.0	2014-10-08	10.0	2014.0
Fatal Instinct							[28]	en	0.629	6.0	1.0	2014-06-03	6.0	2014.0
Unmappable							[]	en	0.629	5.0	1.0	2014-10-18	10.0	2014.0
Diving With The Dinosaur Fish							[99]	en	0.629	5.0	1.0	2014-09-27	9.0	2014.0
Bill the Galactic Hero							[35, 878]	en	0.629	5.0	1.0	2014-12-12	12.0	2014.0
The Minions							[9648, 27]	en	0.629	5.0	1.0	2014-10-30	10.0	2014.0
Ink							[]	en	0.629	4.0	1.0	2014-09-25	9.0	2014.0
Heavenly Match							[18, 10770]	en	0.629	4.0	1.0	2014-10-12	10.0	2014.0
The Murders of Brandywine Theater							[27]	en	0.629	4.0	1.0	2014-09-12	9.0	2014.0
Snuffet							[27]	en	0.629	2.0	1.0	2014-08-26	8.0	2014.0
Border Break							[]	en	0.629	2.0	1.0	2014-07-22	7.0	2014.0
Cheerleader Camp: To The Death							[]	en	0.629	1.0	1.0	2014-10-13	10.0	2014.0
The Biker Warrior Babe vs. The Zombie Babies From Hell							[27]	en	0.629	1.0	1.0	2014-12-02	12.0	2014.0
Confessions of a Womanizer							[35]	en	0.629	0.5	1.0	2014-09-06	9.0	2014.0
Leslie Sansone: WATP Multi-Mile Mega Walk							[]	en	0.628	10.0	1.0	2014-01-01	1.0	2014.0
Nibiru - Return of the Gods							[99]	en	0.628	10.0	1.0	2014-02-04	2.0	2014.0
Messer Chups: Total Terror							[10402]	en	0.628	10.0	1.0	2014-06-06	6.0	2014.0
Skygate 911							[99]	en	0.628	10.0	1.0	2014-01-01	1.0	2014.0
LRG - 47							[]	hu	0.628	10.0	1.0	2014-01-01	1.0	2014.0
The Adventures of Tim and Ben							[12, 28]	en	0.628	10.0	1.0	2014-06-21	6.0	2014.0
Tony Cairoli: The Movie							[99]	en	0.628	10.0	1.0	2014-01-01	1.0	2014.0
Contrapelo							[]	en	0.628	9.5	1.0	2014-04-18	4.0	2014.0
The Obvious Child							[16]	en	0.628	9.0	1.0	2014-01-17	1.0	2014.0
Packard: The Last Shift							[99]	en	0.628	8.0	1.0	2014-03-01	3.0	2014.0
Frank Zappa - Freak Jazz, Movie Madness & Another Mothers							[]	en	0.628	8.0	1.0	2014-01-01	1.0	2014.0
Riot on the Dance Floor							[99]	en	0.628	8.0	1.0	2014-04-27	4.0	2014.0
One Last Hug							[99]	en	0.628	8.0	1.0	2014-04-14	4.0	2014.0
Manos: The Hands of Felt							[35]	en	0.628	7.5	1.0	2014-01-01	1.0	2014.0
Uriah Heep: Live at Koko							[10402]	en	0.628	7.0	1.0	2014-02-24	2.0	2014.0
Office Ninja							[]	en	0.628	7.0	1.0	2014-04-22	4.0	2014.0
Limited Partnership							[99]	en	0.628	7.0	1.0	2014-06-14	6.0	2014.0
The Zeroes							[35, 10751]	en	0.628	6.0	1.0	2014-03-09	3.0	2014.0
The Hanover House							[]	en	0.628	6.0	1.0	2014-05-09	5.0	2014.0
Intimate Semaphores							[]	en	0.628	6.0	1.0	2014-05-29	5.0	2014.0
Helium Harvey							[]	en	0.628	6.0	1.0	2014-01-29	1.0	2014.0
Happy March 8th, Men!							[10749, 35]	ru	0.628	6.0	1.0	2014-04-04	4.0	2014.0
Sorority Surrogate							[10770, 9648, 18]	en	0.628	6.0	1.0	2014-03-22	3.0	2014.0
Drunktown's Finest							[18]	en	0.628	6.0	1.0	2014-01-18	1.0	2014.0
Sweet Oranges							[]	en	0.628	5.0	1.0	2014-01-01	1.0	2014.0
I'm a Mitzvah							[18, 35]	en	0.628	5.0	1.0	2014-01-17	1.0	2014.0
The Muck							[27]	en	0.628	5.0	1.0	2014-03-08	3.0	2014.0
We Were Not Made For This World							[878]	en	0.628	5.0	1.0	2014-06-18	6.0	2014.0
Gay Lives of Straight Guys							[]	en	0.628	5.0	1.0	2014-03-01	3.0	2014.0
Being Us							[18]	en	0.628	5.0	1.0	2014-05-28	5.0	2014.0
Sick Birds Die Easy							[99, 12, 35]	en	0.628	5.0	1.0	2014-01-24	1.0	2014.0
Marmato							[99]	en	0.628	5.0	1.0	2014-01-17	1.0	2014.0
The Disobedient							[18]	sr	0.628	5.0	1.0	2014-01-21	1.0	2014.0
Documented							[99]	en	0.628	5.0	1.0	2014-05-02	5.0	2014.0
Brothers Hypnotic							[]	en	0.628	5.0	1.0	2014-04-05	4.0	2014.0
Flash in the Pain							[]	en	0.628	4.0	1.0	2014-06-10	6.0	2014.0
Hello, My Name Is Frank							[18, 35]	en	0.628	4.0	1.0	2014-01-01	1.0	2014.0
Anita Ho							[10749, 35]	en	0.628	4.0	1.0	2014-01-01	1.0	2014.0
Me							[35]	en	0.628	4.0	1.0	2014-05-21	5.0	2014.0
Love Will Keep Up Together							[]	en	0.628	3.0	1.0	2014-06-10	6.0	2014.0
Pauline Alone							[35]	en	0.628	2.0	1.0	2014-06-19	6.0	2014.0
Generation Youtube							[99]	en	0.628	1.0	1.0	2014-04-25	4.0	2014.0
Hear No Evil							[53, 18]	en	0.628	1.0	1.0	2014-06-21	6.0	2014.0
The House on the Wrong Side of the Tracks							[]	en	0.628	1.0	1.0	2014-01-01	1.0	2014.0
Dennis Miller: America 180 Degrees							[35]	en	0.628	1.0	1.0	2014-06-13	6.0	2014.0
Short Movie							[35]	es	0.627	10.0	1.0	2014-02-12	2.0	2014.0
My Name Is Salt							[99]	en	0.627	9.0	1.0	2014-06-14	6.0	2014.0
Sol LeWitt							[99]	en	0.626	5.0	1.0	2014-05-07	5.0	2014.0
Aspirational							[35]	en	0.625	6.4	8.0	2014-09-22	9.0	2014.0
Ticky Tacky							[18, 35]	en	0.624	7.8	8.0	2014-06-21	6.0	2014.0
Elementary Loves							[10749, 10751, 12, 35]	it	0.624	4.7	8.0	2014-02-02	2.0	2014.0
American Beast							[27]	pt	0.623	2.7	8.0	2014-10-21	10.0	2014.0
Eternity: The Movie							[35, 10402]	en	0.62	2.1	6.0	2014-03-08	3.0	2014.0
Evaporating Borders							[99]	en	0.617	8.0	3.0	2014-03-11	3.0	2014.0
The Powerpuff Girls: Dance Pantsed							[10751, 10770, 16, 28]	en	0.615	5.2	5.0	2014-01-20	1.0	2014.0
The Possibilities Are Endless							[99]	en	0.601	5.7	7.0	2014-03-04	3.0	2014.0
For This I Went to College?							[35]	en	0.6	10.0	1.0	2014-04-26	4.0	2014.0
Oops, Homicide							[27, 18]	en	0.6	10.0	1.0	2014-10-25	10.0	2014.0
No Name: The Fastest Knitter in the West							[28, 12, 35, 80, 18, 10402, 37]	en	0.6	10.0	1.0	2014-08-29	8.0	2014.0
Nicole Scherzinger: MTV World Stage							[10402]	en	0.6	10.0	1.0	2014-10-22	10.0	2014.0
Palms							[10751]	en	0.6	10.0	1.0	2014-03-06	3.0	2014.0
Watchtower of Turkey							[12, 99, 10402]	en	0.6	10.0	1.0	2014-10-06	10.0	2014.0
Communism by the backdoor							[99]	en	0.6	10.0	1.0	2014-05-07	5.0	2014.0
Duck, Death, and the Tulip							[16, 14]	en	0.6	10.0	1.0	2014-04-01	4.0	2014.0
The Hauntings of Old Santon							[]	en	0.6	10.0	1.0	2014-08-11	8.0	2014.0
Bicycles							[35]	en	0.6	10.0	1.0	2014-11-14	11.0	2014.0
Finding the Gold Within							[99, 18]	en	0.6	10.0	1.0	2014-10-03	10.0	2014.0
Yemeniettes							[99, 18]	en	0.6	10.0	1.0	2014-02-15	2.0	2014.0
The Marvel Universe Expands: Marvel 75th Anniversary							[99]	en	0.6	10.0	1.0	2014-08-21	8.0	2014.0
Miriam: Home Delivery							[99]	en	0.6	10.0	1.0	2014-01-01	1.0	2014.0
Simorgh							[]	en	0.6	10.0	1.0	2014-09-28	9.0	2014.0
Wolverine Weapon X: Tomorrow Dies Today							[]	en	0.6	10.0	1.0	2014-05-13	5.0	2014.0
Autumn Harvest							[27, 9648]	no	0.6	10.0	1.0	2014-05-21	5.0	2014.0
B-Class Cultural Heritage							[28, 35, 878]	ja	0.6	10.0	1.0	2014-04-14	4.0	2014.0
Nick Cave & The Bad Seeds Austin City Limits							[10402]	en	0.6	10.0	1.0	2014-11-01	11.0	2014.0
The Apprentice							[35]	en	0.6	10.0	1.0	2014-04-26	4.0	2014.0
9/11: Simulations							[99]	en	0.6	10.0	1.0	2014-07-04	7.0	2014.0
R.P.G.							[]	en	0.6	10.0	1.0	2014-07-17	7.0	2014.0
Ink, Blood and Spirit							[99]	sv	0.6	10.0	1.0	2014-05-11	5.0	2014.0
The Computers							[99]	en	0.6	10.0	2.0	2014-05-24	5.0	2014.0
Mike and I							[18]	en	0.6	10.0	1.0	2014-11-14	11.0	2014.0
Honky Holocaust							[]	en	0.6	10.0	1.0	2014-01-01	1.0	2014.0
White Ash							[]	en	0.6	10.0	1.0	2014-09-07	9.0	2014.0
Weed 2: Cannabis Madness							[99]	en	0.6	10.0	1.0	2014-03-14	3.0	2014.0
The Jungle Book: Bird-Day Bash							[]	en	0.6	10.0	1.0	2014-07-29	7.0	2014.0
I Capuleti e i Montecchi							[18, 10402]	en	0.6	10.0	1.0	2014-09-04	9.0	2014.0
World War Brown							[28, 35, 36, 10752]	en	0.6	10.0	1.0	2014-12-12	12.0	2014.0
Kids on Stage							[99]	en	0.6	10.0	1.0	2014-11-20	11.0	2014.0
Galapagos 3D: Nature's Wonderland							[99, 12]	en	0.6	10.0	1.0	2014-02-07	2.0	2014.0
Until it Hurts							[99]	en	0.6	10.0	1.0	2014-01-01	1.0	2014.0
13 Nights of Elvira: Evil Bong							[]	en	0.6	10.0	1.0	2014-10-19	10.0	2014.0
House of Hardcore VII							[]	en	0.6	10.0	1.0	2014-11-15	11.0	2014.0
Heaven is Hell							[]	en	0.6	10.0	1.0	2014-09-05	9.0	2014.0
Trentemøller: Gravity							[12, 18, 14, 10402, 10749]	en	0.6	10.0	2.0	2014-01-09	1.0	2014.0
Trooper							[]	en	0.6	10.0	1.0	2014-11-11	11.0	2014.0
Jeff Lowe's Metanoia							[]	en	0.6	10.0	1.0	2014-11-01	11.0	2014.0
Saving Africa's Giants With Yao Ming							[]	en	0.6	10.0	1.0	2014-11-18	11.0	2014.0
Jean Claude Van Damme's Damn Van							[]	en	0.6	10.0	2.0	2014-11-10	11.0	2014.0
Dwight Howard: In the Moment							[]	en	0.6	10.0	1.0	2014-11-01	11.0	2014.0
Edible City							[]	en	0.6	10.0	1.0	2014-01-01	1.0	2014.0
Shake Junt - Skate Tank							[99]	en	0.6	10.0	1.0	2014-01-01	1.0	2014.0
Enjoi - Oververt							[99]	hu	0.6	10.0	1.0	2014-01-01	1.0	2014.0
Friends Don't Let Friends Date Friends							[35, 10749]	en	0.6	10.0	1.0	2014-11-07	11.0	2014.0
Emma							[18]	en	0.6	10.0	1.0	2014-11-24	11.0	2014.0
Creed of Gold							[28, 18, 53]	en	0.6	10.0	1.0	2014-08-12	8.0	2014.0
Life in Darkness							[53]	en	0.6	10.0	1.0	2014-05-05	5.0	2014.0
Void							[]	en	0.6	10.0	1.0	2014-12-18	12.0	2014.0
From The Village to The Basement							[]	en	0.6	10.0	1.0	2014-12-03	12.0	2014.0
Snow Monkeys							[99]	en	0.6	10.0	1.0	2014-04-23	4.0	2014.0
Campaign of Hate: Russia and Gay Propaganda							[99]	en	0.6	10.0	2.0	2014-06-22	6.0	2014.0
I Don't Dance							[]	en	0.6	10.0	1.0	2014-11-19	11.0	2014.0
One Direction: Reaching for the Stars Part 2 - The Next Chapter							[99, 10402]	en	0.6	10.0	2.0	2014-05-13	5.0	2014.0
Footsteps in the Snow							[80, 99]	en	0.6	10.0	1.0	2014-11-12	11.0	2014.0
Curious George Sweet Dreams							[]	en	0.6	10.0	1.0	2014-11-08	11.0	2014.0
Basketball 3:16							[]	en	0.6	10.0	1.0	2014-03-01	3.0	2014.0
Under Wraps							[10751]	en	0.6	10.0	1.0	2014-10-31	10.0	2014.0
Bella Vita							[99]	en	0.6	10.0	1.0	2014-09-16	9.0	2014.0
Transgender Parents							[99]	en	0.6	10.0	2.0	2014-10-19	10.0	2014.0
Life After Death							[]	en	0.6	10.0	1.0	2014-02-01	2.0	2014.0
Virtus							[]	en	0.6	10.0	2.0	2014-07-27	7.0	2014.0
Red Luck							[]	en	0.6	10.0	1.0	2014-04-07	4.0	2014.0
The One Piece Podcast Goes To Japan							[99]	en	0.6	10.0	2.0	2014-10-03	10.0	2014.0
The Syndrome							[99]	en	0.6	10.0	1.0	2014-10-12	10.0	2014.0
Life After Death from Above 1979							[99, 18, 10402]	en	0.6	10.0	1.0	2014-10-07	10.0	2014.0
CHRISTMAS RIDE							[18, 10751]	en	0.6	10.0	1.0	2014-09-19	9.0	2014.0
George Strait: The Cowboy Rides Away							[10751, 10402]	en	0.6	10.0	1.0	2014-08-29	8.0	2014.0
African Metropolis							[35, 18, 10749]	en	0.6	10.0	1.0	2014-06-03	6.0	2014.0
Cantajuego 10							[]	es	0.6	10.0	1.0	2014-06-12	6.0	2014.0
Death As Life							[]	en	0.6	10.0	1.0	2014-06-01	6.0	2014.0
Paul Mooney: A Piece of My Mind - God Bless America							[35]	en	0.6	10.0	1.0	2014-03-18	3.0	2014.0
Daniel Bryan: Journey to WrestleMania 30							[]	en	0.6	10.0	1.0	2014-04-09	4.0	2014.0
Ending Is the Beginning - The Mitch Lucker Memorial Show							[99]	en	0.6	10.0	1.0	2014-02-18	2.0	2014.0
Disney Cruise Line: ReImagined Magic							[]	en	0.6	10.0	1.0	2014-02-17	2.0	2014.0
Que caramba es la vida							[99]	en	0.6	10.0	1.0	2014-03-11	3.0	2014.0
What The F@#- Is Cancer and Why Does Everybody Have It?							[99]	en	0.6	10.0	1.0	2014-01-08	1.0	2014.0
This May Be the Last Time							[99]	en	0.6	10.0	1.0	2014-01-19	1.0	2014.0
Skanks							[]	en	0.6	10.0	1.0	2014-07-22	7.0	2014.0
A Brief Look at the Space Race							[18, 36]	en	0.6	9.5	2.0	2014-12-17	12.0	2014.0
Beneath the Helmet							[]	en	0.6	9.5	2.0	2014-10-28	10.0	2014.0
J'irai Dormir chez l'Homme qui Brûle							[99]	fr	0.6	9.5	1.0	2014-10-17	10.0	2014.0
United States of Secrets (Part One): The Program							[]	en	0.6	9.5	2.0	2014-05-13	5.0	2014.0
For Those About to Rock. The Story of Rodrigo y Gabriela							[99]	en	0.6	9.5	1.0	2014-03-15	3.0	2014.0
Wayward Fronds							[]	en	0.6	9.3	3.0	2014-01-01	1.0	2014.0
The Serenity Chronicles III: Revelations							[28, 12, 18, 878]	en	0.6	9.0	1.0	2014-10-31	10.0	2014.0
The Serenity Chronicles II: War Stories							[28, 12, 18, 878]	en	0.6	9.0	1.0	2014-09-01	9.0	2014.0
The Serenity Chronicles I: Firefly							[18, 878, 28, 12]	en	0.6	9.0	1.0	2014-07-31	7.0	2014.0
Flying Paper							[99, 16, 10751]	en	0.6	9.0	1.0	2014-10-22	10.0	2014.0
Down in Shadowland							[99]	en	0.6	9.0	2.0	2014-10-18	10.0	2014.0
The Oxide Incident							[18, 9648]	en	0.6	9.0	1.0	2014-10-10	10.0	2014.0
Hero							[]	en	0.6	9.0	1.0	2014-04-17	4.0	2014.0
Lonely Planet							[18, 10749]	en	0.6	9.0	1.0	2014-10-19	10.0	2014.0
New Zealand - Home of Middle-earth - Part 2							[]	en	0.6	9.0	1.0	2014-03-20	3.0	2014.0
Lesley the Pony Has an A+ Day!							[]	en	0.6	9.0	1.0	2014-01-01	1.0	2014.0
Sean							[]	en	0.6	9.0	1.0	2014-12-03	12.0	2014.0
Dragula							[18]	en	0.6	9.0	1.0	2014-06-24	6.0	2014.0
SMH The Movie							[]	en	0.6	9.0	1.0	2014-11-01	11.0	2014.0
Dogs on the Inside							[99]	en	0.6	9.0	2.0	2014-09-25	9.0	2014.0
Rosetta: Audio/Visual							[10402, 99]	en	0.6	9.0	2.0	2014-12-25	12.0	2014.0
White, Blue and White							[]	en	0.6	9.0	1.0	2014-07-01	7.0	2014.0
Jean-Marc Parent - Torture							[35]	fr	0.6	9.0	1.0	2014-11-25	11.0	2014.0
Malleus Maleficarum							[27]	en	0.6	9.0	1.0	2014-10-25	10.0	2014.0
Pity							[53, 18, 27]	en	0.6	9.0	1.0	2014-03-08	3.0	2014.0
The Lion’s Mouth Opens							[99]	en	0.6	9.0	1.0	2014-01-18	1.0	2014.0
The Day the Series Stopped							[99, 10770]	en	0.6	9.0	2.0	2014-10-12	10.0	2014.0
Strictly Sacred: The Story of Girl Trouble							[]	en	0.6	9.0	1.0	2014-05-26	5.0	2014.0
A Leading Man							[18]	en	0.6	9.0	1.0	2014-09-26	9.0	2014.0
Walking Under Water							[]	en	0.6	9.0	2.0	2014-11-17	11.0	2014.0
